20130930_054259_265  607 -80.04820596 40.42820351 3 PartlyCloudy
20130930_054433_317  350 -80.04540013 40.42556919 3 PartlyCloudy
20130930_054433_317  450 -80.04460187 40.42499491 3 PartlyCloudy
20130930_054606_418   34 -80.04140320 40.42379374 3 PartlyCloudy
20130930_054606_418  262 -80.03741284 40.42011189 3 PartlyCloudy
20130930_054606_418  274 -80.03702109 40.41999186 3 PartlyCloudy
20130930_054606_418  281 -80.03681444 40.41995111 3 PartlyCloudy
20130930_054606_418  386 -80.03341292 40.42000142 3 PartlyCloudy
20130930_054606_418  426 -80.03220121 40.42046807 3 PartlyCloudy
20130930_054606_418  441 -80.03181036 40.42071246 3 PartlyCloudy
20130930_054606_418  449 -80.03161071 40.42086387 3 PartlyCloudy
20130930_054606_418  476 -80.03140564 40.42103880 3 PartlyCloudy
20130930_054606_418  486 -80.03122827 40.42120888 3 PartlyCloudy
20130930_054606_418  489 -80.03100238 40.42145528 3 PartlyCloudy
20130930_054606_418  491 -80.03084863 40.42165842 3 PartlyCloudy
20130930_054606_418  504 -80.03060809 40.42210873 3 PartlyCloudy
20130930_054606_418  530 -80.03041454 40.42279772 3 PartlyCloudy
20130930_054606_418  537 -80.03040252 40.42299153 3 PartlyCloudy
20130930_054606_418  544 -80.03040801 40.42317993 3 PartlyCloudy
20130930_054606_418  552 -80.03042894 40.42338731 3 PartlyCloudy
20130930_054606_418  588 -80.03060636 40.42437858 3 PartlyCloudy
20130930_054606_418  596 -80.03065197 40.42459480 3 PartlyCloudy
20130930_054606_418  625 -80.03080985 40.42538376 3 PartlyCloudy
20130930_054606_418  632 -80.03082909 40.42558653 3 PartlyCloudy
20130930_054606_418  638 -80.03083542 40.42577559 3 PartlyCloudy
20130930_054606_418  645 -80.03084051 40.42597962 3 PartlyCloudy
20130930_054606_418  653 -80.03083751 40.42617854 3 PartlyCloudy
20130930_054606_418  660 -80.03081455 40.42639019 3 PartlyCloudy
20130930_054606_418  663 -80.03080352 40.42647305 3 PartlyCloudy
20130930_054741_239    5 -80.03041173 40.42761633 3 PartlyCloudy
20130930_054741_239   12 -80.02981354 40.42844536 3 PartlyCloudy
20130930_054741_239   18 -80.02960815 40.42863458 3 PartlyCloudy
20130930_054741_239   50 -80.02880203 40.42922962 3 PartlyCloudy
20130930_054741_239   79 -80.02820904 40.42962080 3 PartlyCloudy
20130930_054741_239  100 -80.02760701 40.43005325 3 PartlyCloudy
20130930_054741_239  137 -80.02720115 40.43031024 3 PartlyCloudy
20130930_054741_239  141 -80.02700084 40.43042269 3 PartlyCloudy
20130930_054741_239  142 -80.02685475 40.43050295 3 PartlyCloudy
20130930_054741_239  152 -80.02622432 40.43084350 3 PartlyCloudy
20130930_054741_239  172 -80.02589307 40.43101366 3 PartlyCloudy
20130930_054741_239  185 -80.02541191 40.43126088 3 PartlyCloudy
20130930_054741_239  242 -80.02398751 40.43201259 3 PartlyCloudy
20130930_054913_923    5 -80.01285733 40.43799534 3 PartlyCloudy
