20121004_190828_762  540 -79.98863287 40.43000266 2 MostlyCloudy
20121004_191035_895  164 -79.99058576 40.42719351 2 MostlyCloudy
20121004_191035_895  190 -79.99118483 40.42737185 2 MostlyCloudy
20121004_191035_895  193 -79.99125040 40.42739646 2 MostlyCloudy
20121004_191035_895  271 -79.99280128 40.42780198 2 MostlyCloudy
20121004_191035_895  510 -79.99779996 40.42925170 2 MostlyCloudy
20121004_191035_895  525 -79.99799108 40.42930845 2 MostlyCloudy
20121004_191035_895  642 -79.99819628 40.42923906 2 MostlyCloudy
20121004_191035_895  654 -79.99825527 40.42920182 2 MostlyCloudy
20121004_191035_895  710 -79.99859588 40.42894589 2 MostlyCloudy
20121004_191035_895  726 -79.99876117 40.42899607 2 MostlyCloudy
20121004_191035_895  760 -79.99899813 40.42910563 2 MostlyCloudy
20121004_191449_732   64 -80.00970337 40.41440110 2 MostlyCloudy
20121004_191449_732   75 -80.00979875 40.41437910 2 MostlyCloudy
20121004_191449_732   84 -80.00989511 40.41439993 2 MostlyCloudy
20121004_191449_732   92 -80.00999236 40.41445506 2 MostlyCloudy
20121004_191449_732  108 -80.01019215 40.41458225 2 MostlyCloudy
20121004_191449_732  127 -80.01039691 40.41471295 2 MostlyCloudy
20121004_191449_732  140 -80.01053028 40.41479760 2 MostlyCloudy
20121004_191449_732  148 -80.01059891 40.41484096 2 MostlyCloudy
20121004_191449_732  193 -80.01079994 40.41496897 2 MostlyCloudy
20121004_191449_732  365 -80.01085829 40.41499853 2 MostlyCloudy
20121004_191449_732  393 -80.01098446 40.41506911 2 MostlyCloudy
20121004_191449_732  409 -80.01119198 40.41516373 2 MostlyCloudy
20121004_191449_732  415 -80.01126716 40.41519789 2 MostlyCloudy
20121004_191449_732  425 -80.01138848 40.41524344 2 MostlyCloudy
20121004_191449_732  435 -80.01158661 40.41530693 2 MostlyCloudy
20121004_191449_732  446 -80.01179876 40.41536348 2 MostlyCloudy
20121004_191449_732  455 -80.01198430 40.41539141 2 MostlyCloudy
20121004_191449_732  458 -80.01204641 40.41539790 2 MostlyCloudy
20121004_191449_732  464 -80.01218568 40.41541092 2 MostlyCloudy
20121004_191449_732  471 -80.01237410 40.41542982 2 MostlyCloudy
20121004_191449_732  479 -80.01258677 40.41546003 2 MostlyCloudy
20121004_191449_732  486 -80.01277829 40.41549329 2 MostlyCloudy
20121004_191449_732  494 -80.01298417 40.41553632 2 MostlyCloudy
20121004_191449_732  501 -80.01317399 40.41557865 2 MostlyCloudy
20121004_191449_732  503 -80.01324130 40.41559424 2 MostlyCloudy
20121004_191449_732  509 -80.01339993 40.41563497 2 MostlyCloudy
20121004_191449_732  516 -80.01357287 40.41568923 2 MostlyCloudy
20121004_191449_732  524 -80.01378732 40.41578597 2 MostlyCloudy
20121004_191449_732  536 -80.01399295 40.41591335 2 MostlyCloudy
20121004_191449_732  540 -80.01407286 40.41598169 2 MostlyCloudy
20121004_191449_732  546 -80.01419678 40.41610825 2 MostlyCloudy
20121004_191449_732  550 -80.01426543 40.41618917 2 MostlyCloudy
20121004_191449_732  560 -80.01436914 40.41639053 2 MostlyCloudy
20121004_191449_732  564 -80.01439830 40.41647481 2 MostlyCloudy
20121004_191449_732  572 -80.01443736 40.41659648 2 MostlyCloudy
20121004_191449_732  578 -80.01448758 40.41675978 2 MostlyCloudy
